Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3,30,-1.75
Query 2,0,0,0
Query 3,2,20,-19.0
Query 4,3,30,-11.5
Query 5,3,30,-3.0
Query 6,1,10,0
Query 7,0,0,0
Query 8,0,0,0
Query 9,2,20,-49.0
Query 10,2,20,-24.0
Query 11,1,10,0
Query 12,4,40,0.30000000000000004
Query 13,5,50,-1.2000000000000002
Query 14,2,20,-9.0
Query 15,6,60,-1.5714285714285716
Query 16,2,20,-7.0
Query 17,1,10,0
Query 18,0,0,0
Query 19,2,20,-7.0
Query 20,2,20,-24.0
Query 21,0,0,0
Query 22,2,20,-35.0
Query 23,4,40,0.09999999999999998
Query 24,3,30,-2.5
Query 25,1,10,0
Query 26,3,30,-7.75
Query 27,5,50,-3.95
Query 28,0,0,0
Query 29,0,0,0
Query 30,3,30,-9.5
Query 31,1,10,0
Query 32,1,10,1
Query 33,1,10,1
Query 34,2,20,0.0
Query 35,1,10,0
Query 36,2,20,0.0
Query 37,2,20,1.0
Query 38,5,50,0.9
Query 39,3,30,-1.5
Query 40,4,40,-0.5
Query 41,1,10,0
Query 42,1,10,0
Query 43,1,10,0
Query 44,2,20,-15.0
Query 45,1,10,0
Query 46,2,20,1.0
Query 47,3,30,0.75
Query 48,0,0,0
Query 49,2,20,-57.0
Query 50,3,30,-0.25
Query 51,1,10,0
Query 52,4,40,-3.0999999999999996
Query 53,2,20,-16.0
Query 54,1,10,1
Query 55,3,30,-16.25
Query 56,2,20,-1.0
Query 57,2,20,-8.0
Query 58,0,0,0
Query 59,2,20,-9.0
Query 60,2,20,-28.0
Query 61,3,30,-3.25
Query 62,1,10,0
Query 63,2,20,-4.0
Query 64,0,0,0
Query 65,0,0,0
Query 66,1,10,0
Query 67,2,20,-28.0
Query 68,4,40,-0.19999999999999996
Query 69,1,10,0
Query 70,4,40,-0.5
Query 71,3,30,-0.25
Query 72,1,10,0
Query 73,1,10,0
Query 74,3,30,-15.25
Query 75,2,20,0.0
Query 76,1,10,1
Query 77,0,0,0
Query 78,2,20,-9.0
Query 79,1,10,0
Query 80,2,20,-9.0
Query 81,0,0,0
Query 82,3,30,-17.5
Query 83,5,50,-0.8999999999999999
Query 84,0,0,0
Query 85,1,10,0
Query 86,4,40,0.4
Query 87,1,10,0
Query 88,1,10,0
Query 89,4,40,0.4
Query 90,3,30,-23.25
Query 91,2,20,-16.0
Query 92,3,30,-0.25
Query 93,0,0,0
Query 94,4,40,-5.5
Query 95,0,0,0
Query 96,1,10,0
Query 97,1,10,0
Query 98,3,30,-6.5
Query 99,4,40,-0.30000000000000004
Query 100,3,30,-7.5
Averages,1.96,19.6,-5.1062142857142865
